% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
4.044	1	2	4	1620.94	0
4.046	1	4	6	4582.52	0
4.081	1	5	1	5972.57	0
4.082	1	3	2	3016.93	0
4.083	1	1	3	4015.88	0
4.084	1	2	4	641.981	0
4.086	1	4	6	2529.29	0
4.121	1	5	1	3226.07	0
4.122	1	3	2	7170.51	0
4.123	1	1	3	9639.53	0
4.124	1	2	4	871.739	0
4.126	1	4	6	1907.56	0
4.161	1	5	1	2376.51	0
4.162	1	3	2	7510.25	0
4.163	1	1	3	9202.88	0
4.164	1	2	4	571.166	0
4.166	1	4	6	1597.2	0
4.201	1	5	1	1492.9	0
4.202	1	3	2	22370.6	0
4.203	1	1	3	12885.4	0
4.204	1	2	4	1236.81	0
4.206	1	4	6	5458.61	0
4.241	1	5	1	2014.22	0
4.242	1	3	2	9240.36	0
4.243	1	1	3	7500.44	0
4.244	1	2	4	1366.03	0
4.246	1	4	6	5741.42	0
4.281	1	5	1	2020.19	0
4.282	1	3	2	2715.31	0
4.283	1	1	3	5881.01	0
4.284	1	2	4	2585.06	0
4.286	1	4	6	4681.64	0
4.321	1	5	1	1972.18	0
4.322	1	3	2	6682.11	0
4.323	1	1	3	23438.4	0
4.324	1	2	4	3515.25	0
4.326	1	4	6	10891.8	0
4.361	1	5	1	6707.7	0
4.362	1	3	2	3126.64	0
4.363	1	1	3	16037.7	0
4.364	1	2	4	1481.29	0
4.366	1	4	6	10431.2	0
4.401	1	5	1	2744.81	0
4.402	1	3	2	3711.68	0
4.403	1	1	3	7993.07	0
4.404	1	2	4	2786.24	0
4.406	1	4	6	8466.23	0
4.441	1	5	1	3570.47	0
4.442	1	3	2	1845.14	0
4.443	1	1	3	5230.09	0
4.444	1	2	4	3737.95	0
4.446	1	4	6	2782.15	0
4.481	1	5	1	7929.33	0
4.482	1	3	2	1412.35	0
4.483	1	1	3	2192.26	0
4.484	1	2	4	2377.96	0
4.486	1	4	6	1502.49	0
4.521	1	5	1	8037.73	0
4.522	1	3	2	5117.74	0
4.523	1	1	3	11219.9	0
4.524	1	2	4	760.925	0
4.526	1	4	6	9317.83	0
4.561	1	5	1	11204.6	0
4.562	1	3	2	13430	0
4.563	1	1	3	23391.7	0
4.564	1	2	4	535.73	0
4.566	1	4	6	5005.21	0
4.601	1	5	1	5646.66	0
4.602	1	3	2	7538.74	0
4.603	1	1	3	8188.26	0
4.604	1	2	4	809.12	0
4.606	1	4	6	1691.24	0
4.641	1	5	1	2326.33	0
4.642	1	3	2	29891.2	0
4.643	1	1	3	7057.65	0
4.644	1	2	4	913.035	0
4.646	1	4	6	6182.48	0
4.681	1	5	1	4356.58	0
4.682	1	3	2	37567.3	0
4.683	1	1	3	6638.76	0
4.684	1	2	4	1531.87	0
4.686	1	4	6	8765.05	0
4.721	1	5	1	14297.9	0
4.722	1	3	2	4657.23	0
4.723	1	1	3	3471.56	0
4.724	1	2	4	2159.45	0
4.726	1	4	6	6511.84	0
4.761	1	5	1	10463.6	0
4.762	1	3	2	1411.9	0
4.763	1	1	3	11834.8	0
4.764	1	2	4	2566.46	0
4.766	1	4	6	6464.66	0
4.801	1	5	1	5926.02	0
4.802	1	3	2	448.068	0
4.803	1	1	3	6212.18	0
4.804	1	2	4	3599.42	0
4.806	1	4	6	13184	0
4.841	1	5	1	8553.97	0
4.842	1	3	2	5140.37	0
4.843	1	1	3	5436.28	0
4.844	1	2	4	2525.61	0
4.846	1	4	6	8792.25	0
4.881	1	5	1	14842.5	0
4.882	1	3	2	2259.61	0
4.883	1	1	3	24144.1	0
4.884	1	2	4	523.207	0
4.886	1	4	6	3214.12	0
4.921	1	5	1	17730.3	0
4.922	1	3	2	2369.88	0
4.923	1	1	3	6094.34	0
4.924	1	2	4	1782.22	0
4.926	1	4	6	3210.96	0
4.961	1	5	1	5161.28	0
4.962	1	3	2	8236.54	0
4.963	1	1	3	6703.15	0
4.964	1	2	4	2170.44	0
4.966	1	4	6	1342.9	0
5.001	1	5	1	4057.76	0
5.002	1	3	2	8828.25	0
5.003	1	1	3	2432.45	0
5.004	1	2	4	1065.35	0
