% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
11421	1	2	5	0	28	2196	0	1	0
11454	1	1	4	0	28	2196	0	1	0
11564	1	5	3	0	28	2196	0	1	0
11593	1	1	4	0	28	2196	0	1	0
11621	1	2	5	0	28	2196	0	1	0
11640	1	4	2	0	28	2196	0	1	0
11692	1	1	4	0	28	2196	0	1	0
11791	1	5	3	0	28	2196	0	1	0
11812	1	2	5	0	28	2196	0	1	0
11933	1	2	5	0	28	2196	0	1	0
11958	1	4	2	0	28	2196	0	1	0
11990	1	5	3	0	28	2196	0	1	0
12076	1	2	5	0	28	2196	0	1	0
12109	1	3	1	0	28	2196	0	1	0
12189	1	5	3	0	28	2196	0	1	0
12212	1	1	4	0	28	2196	0	1	0
12276	1	4	2	0	28	2196	0	1	0
12282	1	5	3	0	28	2196	0	1	0
12304	1	2	5	0	28	2196	0	1	0
12364	1	1	4	0	28	2196	0	1	0
12397	1	5	3	0	28	2196	0	1	0
12569	1	1	4	0	28	2196	0	1	0
12598	1	1	4	0	28	2196	0	1	0
12624	1	3	1	0	28	2196	0	1	0
12680	1	2	5	0	28	2196	0	1	0
12724	1	5	3	0	28	2196	0	1	0
12754	1	4	2	0	28	2196	0	1	0
12864	1	3	1	0	28	2196	0	1	0
12867	1	1	4	0	28	2196	0	1	0
13006	1	2	5	0	28	2196	0	1	0
13162	1	5	3	0	28	2196	0	1	0
13173	1	4	2	0	28	2196	0	1	0
13187	1	2	5	0	28	2196	0	1	0
13210	1	4	2	0	28	2196	0	1	0
13222	1	4	2	0	28	2196	0	1	0
13229	1	3	1	0	28	2196	0	1	0
13244	1	4	2	0	28	2196	0	1	0
13250	1	3	1	0	28	2196	0	1	0
13353	1	3	1	0	28	2196	0	1	0
13366	1	2	5	0	28	2196	0	1	0
13397	1	5	3	0	28	2196	0	1	0
13429	1	4	2	0	28	2196	0	1	0
13465	1	2	5	0	28	2196	0	1	0
13472	1	3	1	0	28	2196	0	1	0
13511	1	3	1	0	28	2196	0	1	0
13543	1	1	4	0	28	2196	0	1	0
13549	1	4	2	0	28	2196	0	1	0
13732	1	2	5	0	28	2196	0	1	0
13755	1	5	3	0	28	2196	0	1	0
13811	1	2	5	0	28	2196	0	1	0
13818	1	1	4	0	28	2196	0	1	0
13833	1	4	2	0	28	2196	0	1	0
13847	1	3	1	0	28	2196	0	1	0
13896	1	3	1	0	28	2196	0	1	0
13963	1	2	5	0	28	2196	0	1	0
13992	1	3	1	0	28	2196	0	1	0
14088	1	4	2	0	28	2196	0	1	0
14161	1	2	5	0	28	2196	0	1	0
14204	1	1	4	0	28	2196	0	1	0
14263	1	3	1	0	28	2196	0	1	0
14289	1	4	2	0	28	2196	0	1	0
14356	1	1	4	0	28	2196	0	1	0
14365	1	4	2	0	28	2196	0	1	0
14417	1	4	2	0	28	2196	0	1	0
14423	1	1	4	0	28	2196	0	1	0
14462	1	1	4	0	28	2196	0	1	0
14469	1	3	1	0	28	2196	0	1	0
14494	1	3	1	0	28	2196	0	1	0
14521	1	3	1	0	28	2196	0	1	0
14527	1	4	2	0	28	2196	0	1	0
14539	1	2	5	0	28	2196	0	1	0
14574	1	1	4	0	28	2196	0	1	0
14649	1	5	3	0	28	2196	0	1	0
14682	1	2	5	0	28	2196	0	1	0
14699	1	3	1	0	28	2196	0	1	0
14850	1	5	3	0	28	2196	0	1	0
14890	1	5	3	0	28	2196	0	1	0
14907	1	3	1	0	28	2196	0	1	0
15013	1	5	3	0	28	2196	0	1	0
15019	1	4	2	0	28	2196	0	1	0
15049	1	3	1	0	28	2196	0	1	0
15052	1	5	3	0	28	2196	0	1	0
